image,path,label,old_path,segment
PermanentCrop_534.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_534.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_534.jpg,train
PermanentCrop_1297.jpg,../euroSAT_dataset/test/PermanentCrop/PermanentCrop_1297.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1297.jpg,test
PermanentCrop_1651.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_1651.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1651.jpg,train
PermanentCrop_755.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_755.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_755.jpg,train
PermanentCrop_2411.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_2411.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_2411.jpg,train
PermanentCrop_1731.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_1731.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1731.jpg,train
PermanentCrop_2092.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_2092.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_2092.jpg,train
PermanentCrop_843.jpg,../euroSAT_dataset/test/PermanentCrop/PermanentCrop_843.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_843.jpg,test
PermanentCrop_565.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_565.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_565.jpg,train
PermanentCrop_1071.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_1071.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1071.jpg,train
PermanentCrop_309.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_309.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_309.jpg,train
PermanentCrop_989.jpg,../euroSAT_dataset/test/PermanentCrop/PermanentCrop_989.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_989.jpg,test
PermanentCrop_1784.jpg,../euroSAT_dataset/test/PermanentCrop/PermanentCrop_1784.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1784.jpg,test
PermanentCrop_1948.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_1948.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1948.jpg,train
PermanentCrop_1521.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_1521.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1521.jpg,train
PermanentCrop_1634.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_1634.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1634.jpg,train
PermanentCrop_248.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_248.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_248.jpg,train
PermanentCrop_2143.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_2143.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_2143.jpg,train
PermanentCrop_1112.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_1112.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1112.jpg,train
PermanentCrop_143.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_143.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_143.jpg,train
PermanentCrop_2162.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_2162.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_2162.jpg,train
PermanentCrop_575.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_575.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_575.jpg,train
PermanentCrop_1296.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_1296.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1296.jpg,train
PermanentCrop_2371.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_2371.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_2371.jpg,train
PermanentCrop_1008.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_1008.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1008.jpg,train
PermanentCrop_2049.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_2049.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_2049.jpg,train
PermanentCrop_474.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_474.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_474.jpg,train
PermanentCrop_379.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_379.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_379.jpg,train
PermanentCrop_371.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_371.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_371.jpg,train
PermanentCrop_178.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_178.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_178.jpg,train
PermanentCrop_676.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_676.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_676.jpg,train
PermanentCrop_1570.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_1570.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1570.jpg,train
PermanentCrop_2334.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_2334.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_2334.jpg,train
PermanentCrop_1950.jpg,../euroSAT_dataset/test/PermanentCrop/PermanentCrop_1950.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1950.jpg,test
PermanentCrop_1636.jpg,../euroSAT_dataset/test/PermanentCrop/PermanentCrop_1636.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1636.jpg,test
PermanentCrop_1759.jpg,../euroSAT_dataset/test/PermanentCrop/PermanentCrop_1759.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1759.jpg,test
PermanentCrop_537.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_537.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_537.jpg,train
PermanentCrop_485.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_485.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_485.jpg,train
PermanentCrop_1778.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_1778.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1778.jpg,train
PermanentCrop_241.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_241.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_241.jpg,train
PermanentCrop_645.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_645.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_645.jpg,train
PermanentCrop_464.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_464.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_464.jpg,train
PermanentCrop_1653.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_1653.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_1653.jpg,train
PermanentCrop_412.jpg,../euroSAT_dataset/test/PermanentCrop/PermanentCrop_412.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_412.jpg,test
PermanentCrop_408.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_408.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_408.jpg,train
PermanentCrop_593.jpg,../euroSAT_dataset/train/PermanentCrop/PermanentCrop_593.jpg,PermanentCrop,../euroSAT_dataset/PermanentCrop/PermanentCrop_593.jpg,train
